date,category,chat_topic,count
1/29/2016,email,Logging in and managing your account,112
1/29/2016,email,SEO and metrics,45
1/29/2016,emails&chats,All Topics,3290
1/30/2016,chat,Adding and editing pages and blocks,1
1/30/2016,chat,All Topics,2
1/30/2016,chat,Logging in and managing your account,1
1/30/2016,email,Adding and editing pages and blocks,139
1/30/2016,email,All Topics,707
1/30/2016,email,"Billing, signup and payments",167
1/30/2016,email,"Commerce, and managing your store",55
1/30/2016,email,Designing your site and managing your template,78
1/30/2016,email,Domains and email services,89
1/30/2016,email,"Galleries, images, and videos",43
1/30/2016,email,Getting Started with Squarespace,57
1/30/2016,email,Logging in and managing your account,51
1/30/2016,email,SEO and metrics,28
1/30/2016,emails&chats,All Topics,709
1/31/2016,email,Adding and editing pages and blocks,149
1/31/2016,email,All Topics,766
1/31/2016,email,"Billing, signup and payments",150
1/31/2016,email,"Commerce, and managing your store",55
1/31/2016,email,Designing your site and managing your template,91
1/31/2016,email,Domains and email services,106
1/31/2016,email,"Galleries, images, and videos",66
1/31/2016,email,Getting Started with Squarespace,69
1/31/2016,email,Logging in and managing your account,53
1/31/2016,email,SEO and metrics,27
1/31/2016,emails&chats,All Topics,766
